Q_User_ID,__js_Instance_domain,__js_Instance_watch,__js_Instance_behaviour,__js_Instance_map,__js_Instance_stop,__js_Instance_safe,__js_Instance_userinput_watch,__js_Instance_userinput_stop,__js_Instance_userinput_notwatch,__js_Instance_userinput_notstop,__js_Instance_userinput_safe,Order of showing,G1-Good,G2-Good,G3-Good,G4-Good,G5-Good,G6-Good,G7-Good,Watch - yes/no,Stop - yes/no,Safe - yes/no,Watch number steps,Stop number steps,Safe number steps,problem,behaviour,total_number_of_actions,behaviour_start,Stop - Watch (time),Stop - Watch (actions),behaviour_start_time,target_goal,G1,G2,G3,G4,G5,G6,G7,G1_stop_dist,G2_stop_dist,G3_stop_dist,G4_stop_dist,G5_stop_dist,G6_stop_dist,G7_stop_dist,G1_safe_dist,G2_safe_dist,G3_safe_dist,G4_safe_dist,G5_safe_dist,G6_safe_dist,G7_safe_dist
full_test_1,navigation,,amb,Bank-B,,714,,,10,,10,1,1,1,1,0,0,,,no,no,yes,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
full_test_1,navigation,365,opt-a,Bank-A,712,,5,10,,,,2,1,1,1,0,0,,,yes,yes,no,5,10,,,,,,3.47,5,,,,,,,,,,,,,,,,,,,,,,,
full_test_1,navigation,,adv,Bank-C,,578,,,8,,8,3,1,1,1,0,0,,,no,no,yes,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
full_test_1,navigation,179,loi,Bank-D,304,,2,4,,,,4,1,1,1,0,0,,,yes,yes,no,2,4,,,,,,1.25,2,,,,,,,,,,,,,,,,,,,,,,,
full_test_1,navigation,,opt-d,Bank-E,,394,,,5,,5,5,1,1,1,0,0,,,no,no,yes,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
full_test_1,sokoban,,opt-d,Sokoban-B,,520,,,7,,7,6,1,1,1,0,0,,,no,no,yes,,,7,Sokoban-B,opt-d,24.0,,,,,,,,,,,,,,,,,,,, 25, 25, 15, 33, 17,,
full_test_1,sokoban,703,opt-a,Sokoban-A,1049,,10,15,,,,7,1,1,1,0,0,,,yes,yes,no,10,15,,Sokoban-A,opt-a,16.0,,3.46,5,, 2, , 6, , , ,,, , 1, , , ,,,,,,,,,
full_test_1,sokoban,179,amb,Sokoban-C,324,,2,4,,,,8,1,1,1,0,0,,,yes,yes,no,2,4,,Sokoban-C,amb,41.0,,1.4500000000000002,2,, , 23, 32, 24, 18, 35,,, 21, 26, 22, 16, 37,,,,,,,,,
full_test_1,sokoban,,adv,Sokoban-E,,,,,,,,9,1,1,1,0,0,,,no,no,no,,,,Sokoban-E,adv,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,
full_test_1,sokoban,,loi,Sokoban-D,,,,,,,,10,1,1,1,0,0,,,no,no,no,,,,Sokoban-D,loi,28.0,8.0,,,4.66,,,,,,,,,,,,,,,,,,,,,,
full_test_1,logistics,,amb,Logistics-E,,873,,,5,,5,11,1,1,1,1,1,0,0,no,no,yes,,,6,Logistics-E,amb,25.0,,,,,,,,,,,,,,,,,,,, 37, 29, 40, 32, 35,16.0,22.0
full_test_1,logistics,1181,adv,Logistics-C,1911,,10,12,,,,12,1,1,1,1,1,0,0,yes,yes,no,10,12,,Logistics-C,adv,40.0,,7.299999999999999,2,, 7, 42, 42, 35, 42, 42,14.0,18.0, 43, 42, 37, 42, 42,15.0,16.0,,,,,,,
full_test_1,logistics,,opt-a,Logistics-B,,1805,,,5,,5,13,1,1,1,1,1,0,0,no,no,yes,,,13,Logistics-B,opt-a,46.0,,,,,,,,,,,,,,,,,,,, 33, 33, 33, 33, 33,17.0,16.0
full_test_1,logistics,,loi,Logistics-D,,536,,,1,,1,14,1,1,1,1,1,0,0,no,no,yes,,,1,Logistics-D,loi,34.0,7.0,,,8.666666666666666,,,,,,,,,,,,,,,, 32, 32, 22, 37, 28,18.0,
full_test_1,logistics,,loi,Logistics-D,,536,,,1,,1,14,1,1,1,1,1,0,0,no,no,yes,,,1,Logistics-D,loi,34.0,7.0,,,8.666666666666666,,,,,,,,,,,,,,,, 32, 32, 22, 38, 28,18.0,
full_test_1,logistics,650,opt-d,Logistics-A,791,,2,4,,,,15,1,1,1,1,1,0,0,yes,yes,no,2,4,,Logistics-A,opt-d,25.0,,1.4100000000000001,2,, 7, 45, 45, 45, 45, 45,24.0,23.0, 44, 44, 44, 44, 44,24.0,21.0,,,,,,,
full_test_1,,,,,,,,,,,,16,,,,,,,,no,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
